"X.Sampling_code";"Field_code";"Technique";"Substrat_type";"Topography";"Complexity";"Community";"Coral_biota";"Sponge";"Non_scleratinian_coral";"Scleratinian_coral";"Fish_diversity";"Fish_abundance";"Remarks"
"201";"MA_MHA_222";"C72";"RUV";"mix";"1";"2";"mixed";"mix_anthozoan";"0";"1";"2";"";"";NA
"202";"MA_MHA_223";"C73";"RUV";"soft";"1";"2";"mixed";"non_scleratinian";"1";"1";"0";"";"";NA
"203";"MA_MHA_224";"C74";"RUV";"hard";"0";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";"";"";NA
"204";"MA_MHA_225";"C75";"RUV";"hard";"1";"3";"coral";"mix_anthozoan";"0";"1";"2";"";"";NA
"205";"MA_MHA_226";"C76";"RUV";"mix";"0";"2";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"206";"MA_MHA_227";"C77";"RUV";"soft";"0";"2";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"207";"MA_MKO_035";"M35";"rosette";"hard";"0";"3";"coral";NA;NA;NA;NA;"3";"3";"Corail dur recouvrement quasi 100%. abondance et diversité ++"
"208";"MA_MKO_036";"M36";"rosette";"hard";"2";"3";"coral";NA;NA;NA;NA;"1";"3";"Corail dur et mou recouvrement 90%. gros banc de fusillers sinon peu de poissons"
"209";"MA_MKO_037";"M37";"rosette";"soft";"2";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Fond sableux en bas d'un tombant vertical. pas de poissons sauf 2 thons qui suivent la caméra"
"210";"MA_MKO_038";"M38";"rosette";"hard";"4";"3";"coral";NA;NA;NA;NA;"2";"3";"Sur le rebord du tombant vertical. de grosses gorgones. des grottes"
"211";"MA_MKO_039";"M39";"rosette";"soft";"0";"1";"bare_sediment";NA;NA;NA;NA;"1";"3";"Test caissons gopro 4. fonds meubles lagon. beaucoup de poissons (vivaneau job. carangues. rougets barberins...)"
"212";"MA_MMA_001";"M01";"rosette";"hard";"0";"3";"coral";NA;NA;NA;NA;"2";"3";"Présence de petits poissons essentiellement. mais présence de bancs. zone assez riche en poissons. sur du plat juste avant le tombant"
"213";"MA_MMA_002";"M02";"rosette";"mix";"3";"2";"mixed";NA;NA;NA;NA;"2";"3";"Présence de gorgones. zone de transition avec une plaine de sable. sur une pente. présence de petits bancs de poissons. zone relativement riche en poissons"
"214";"MA_MMA_003";"M03";"rosette";"mix";"0";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Pas très bonne visibilité. ressemble à une plaine de sable avec de nombreux débris"
"215";"MA_MMA_004";"M04";"rosette";"mix";"0";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"3";"Présence de gorgones. zone de plat juste avant le tombant. présence de poissons au début de la remontée. surtout des balistes bleus"
"216";"MA_MMA_005";"M05";"rosette";"mix";"1";"1";"pebbled_sediment";NA;NA;NA;NA;"0";"0";"Pente très douce. ressemble à une plaine de sable. présence d'une petite marche"
"217";"MA_MMA_006";"M06";"rosette";"mix";"4";"1";"mixed";NA;NA;NA;NA;"1";"2";"Quasi mur à la verticale. présence de très peu de poissons qui suivent le dispositif. et poissons qui fuient"
"218";"MA_MMA_007";"M07";"rosette";"hard";"0";"3";"coral";NA;NA;NA;NA;"2";"3";"Riche en petits poissons "
"219";"MA_MMA_008";"M08";"rosette";"mix";"1";"1";"mixed";NA;NA;NA;NA;"1";"2";"Présence de bancs poissons durant la remontée du dispositifs. présence de petits poissons sur le fond. mais présence d'habitats plus complexes autour"
"220";"MA_MMA_009";"M09";"rosette";"mix";"0";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"3";"Présence de gorgones. zone plate juste avant le tombant. banc balistes bleus"
"221";"MA_MMA_010";"M10";"rosette";"mix";"1";"2";"mixed";NA;NA;NA;NA;"2";"3";"Présence de nombreuses gorgones assez grandes. zone plate juste avant le tombant. présence de petits poissons au niveau des gorgones. présence de poissons durant la remontée du dispositifs"
"222";"MA_MMA_011";"M11";"rosette";"mix";"2";"1";"mixed";NA;NA;NA;NA;"1";"3";"Zone plate juste avant le tombant. zone relativement homogène. présence de petits poissons essentiellement. présence de thonidés. présence de deux raies aigles"
"223";"MA_MMA_144";"R2.1";"RUV";"hard";"1";"1";"mixed";"other";"1";"0";"0";"";"";NA
"224";"MA_MMA_145";"R2.2";"RUV";"";"";"";"";"";"";"";"";"";"";NA
"225";"MA_MMA_146";"R2.3";"RUV";"soft";"1";"1";"pebbled_sediment";"other";"0";"1";"0";"";"";"Bas de tombant face a un mur, présence d'algues"
"226";"MA_MMA_147";"R2.4";"RUV";"hard";"1";"3";"mixed";"other";"0";"1";"0";"";"";"Présence de turf"
"227";"MA_MMA_148";"R3.1";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";"";"";NA
"228";"MA_MMA_149";"R3.2";"RUV";"mix";"2";"2";"mixed";"mix_anthozoan";"0";"2";"2";"";"";NA
"229";"MA_MMA_150";"R3.3";"RUV";"mix";"1";"2";"mixed";"non_scleratinian";"0";"2";"0";"";"";"foret de gorgones"
"230";"MA_MMA_151";"R3.4";"RUV";"soft";"0";"0";"bare_sediment";"other";"0";"0";"0";"";"";NA
"231";"MA_MMA_160";"R2.8";"RUV";"hard";"";"3";"";"";"";"";"";"";"";"Pas un bon angle de vue pour décrire l'habitat"
"232";"MA_MMA_161";"R2.7";"RUV";"hard";"2";"3";"mixed";"other";"0";"2";"1";"";"";"Présence d'algues"
"233";"MA_MMA_162";"R2.6";"RUV";"mix";"1";"2";"mixed";"non_scleratinian";"0";"2";"0";"";"";"foret de gorgones"
"234";"MA_MMA_163";"R2.5";"RUV";"soft";"1";"1";"algae";"other";"0";"1";"0";"";"";NA
"235";"MA_MMA_164";"R3.8";"RUV";"";"";"";"";"";"";"";"";"";"";NA
"236";"MA_MMA_165";"R3.7";"RUV";"mix";"1";"2";"mixed";"other";"2";"2";"0";"";"";NA
"237";"MA_MMA_166";"R3.6";"RUV";"mix";"2";"2";"mixed";"other";"0";"1";"1";"";"";"Présence d'algues"
"238";"MA_MMA_167";"R3.5";"RUV";"hard";"";"3";"";"";"";"";"";"";"";"Pas un bon angle de vue pour décrire l'habitat"
"239";"MA_MMA_168";"R3.9";"RUV";"soft";"0";"1";"algae";"other";"0";"1";"0";"";"";NA
"240";"MA_MMA_177";"R2.9";"RUV";"soft";"0";"1";"pebbled_sediment";"other";"0";"0";"0";"";"";"Bas de tombant"
"241";"MA_MMA_178";"R2.10";"RUV";"mix";"1";"2";"mixed";"non_scleratinian";"1";"2";"0";"";"";NA
"242";"MA_MMA_179";"R2.11";"RUV";"mix";"1";"3";"mixed";"other";"1";"2";"0";"";"";"Beaucoup de gorgones, présence d'algues"
"243";"MA_MMA_180";"R2.12";"RUV";"hard";"2";"3";"algae";"other";"0";"1";"1";"";"";"Présence de turf"
"244";"MA_MMA_181";"R3.10";"RUV";"hard";"2";"3";"algae";"other";"0";"0";"0";"";"";"Présence de turf"
"245";"MA_MMA_182";"R3.11";"RUV";"mix";"2";"3";"mixed";"other";"0";"1";"1";"";"";"Pas mal de structure, bas de tombant, présence d'algues"
"246";"MA_MMA_183";"R3.12";"RUV";"mix";"1";"2";"mixed";"other";"1";"2";"0";"";"";"Présence d'algues"
"247";"MA_MMA_184";"R3.13";"RUV";"soft";"1";"1";"mixed";"other";"1";"2";"0";"";"";"Peu de gorgone, présence d'algues"
"248";"MA_MMB_048";"M48";"rosette";"mix";"1";"2";"mixed";NA;NA;NA;NA;"1";"3";"Banc balistes bleus. pas mal de corail malgré présence de sable et de débris"
"249";"MA_MMB_049";"M49";"rosette";"mix";"3";"2";"mixed";NA;NA;NA;NA;"3";"3";"Banc balistes bleus et de fusiliers. zone HYPER riche en poissons. pente assez sèche"
"250";"MA_MMB_050";"M50";"rosette";"mix";"3";"2";"mixed";NA;NA;NA;NA;"1";"3";"Pente assez sèche. zone de transition avec une espèce de plaine de sable. présence de gorgones. zone assez riche en poissons"
"251";"MA_MMB_051";"M51";"rosette";"soft";"0";"0";"bare_sediment";NA;NA;NA;NA;"0";"0";"Habitat peu intéressant. plaine de sable"
"252";"MA_MMB_052";"M52";"rosette";"mix";"3";"1";"mixed";NA;NA;NA;NA;"1";"3";"Zone très sombre. présence de petits poissons. banc de poissons au début de la remontée. présence de gorgones. quasi un mur"
"253";"MA_VVM_126";"R14.1";"RUV";"";"";"";"";"";"";"";"";"";"";NA
"254";"MA_VVM_127";"R14.2";"RUV";"mix";"1";"1";"algae";"other";"1";"0";"0";"";"";NA
"255";"MA_VVM_128";"R14.3";"RUV";"mix";"3";"3";"mixed";"other";"0";"0";"1";"";"";"Bas de tombant"
"256";"MA_VVM_129";"R14.4";"RUV";"hard";"3";"3";"mixed";"non_scleratinian";"0";"2";"0";"";"";"Présence de turf"
"257";"MA_VVM_185";"R14.5";"RUV";"soft";"0";"1";"algae";"other";"0";"0";"0";"";"";NA
"258";"MA_VVM_186";"R14.6";"RUV";"mix";"3";"2";"mixed";"other";"0";"0";"0";"";"";NA
"259";"MA_VVM_187";"R14.7";"RUV";"";"";"";"";"";"";"";"";"";"";"Pas un bon angle de vue pour décrire l'habitat"
"260";"MA_VVM_188";"R14.8";"RUV";"hard";"1";"3";"algae";"other";"0";"0";"0";"";"";"Présence de turf"
"261";"MA_VVM_189";"R14.9";"RUV";"hard";"3";"3";"mixed";"non_scleratinian";"0";"2";"0";"";"";"Présence de turf"
"262";"MA_VVM_190";"R14.10";"RUV";"hard";"3";"3";"algae";"other";"0";"1";"0";"";"";"Présence de turf"
"263";"MA_VVM_191";"R14.11";"RUV";"soft";"0";"0";"";"";"";"";"";"";"";"Face a un mur, pas un bon angle de vue pour décrire l'habitat"
"264";"MA_VVM_192";"R14.12";"RUV";"";"";"";"";"";"";"";"";"";"";NA
"265";"MA_VVM_193";"R14.13";"RUV";"mix";"1";"1";"algae";"other";"1";"1";"0";"";"";NA
"266";"MA_VVM_194";"R14.14";"RUV";"";"";"";"";"";"";"";"";"";"";NA
